No.,Paper Title,Reference,Year,Venue,How We Used This Paper,Limitations Stated
1,An Introduction to Centralized Training for Decentralized Execution in Cooperative Multi-Agent Reinforcement Learning,[5],2024,arXiv preprint,Core Framework Foundation: Provides the theoretical foundation for our QMIX implementation. Validates our CTDE paradigm. Justifies why agents can train with global information but execute with only local observations. Cited in Section II-C and III-F.,Requires extensive training episodes (500 episodes). Assumes agents can access global state during training. Communication overhead during centralized training. May not scale to >50 agents.
2,Multi-Agent Reinforcement Learning with Hierarchical Coordination for Emergency Responder Stationing,[3],2024,ICML 2024,Highest Prestige Validation: ICML 2024 publication validates our problem domain at the highest academic level. Provides empirical evidence (5-second response time reduction). Cited in Section II-C and V-E to justify MARL approach.,"Uses hierarchical MARL (more complex than our Hungarian approach). Requires 3 orders of magnitude more computation. Tested only on ambulance repositioning, not flood scenarios. No predictive flood modeling."
3,Shortest Path Planning and Dynamic Rescue Forces Dispatching for Urban Flood Disasters,[14],2025,Scientific Reports (Nature),"Direct Methodological Parallel: Most directly relevant paper to our work. Uses customized A* with Hungarian-style optimization for flood rescue. Validates our Hungarian algorithm choice. Cited extensively in Sections II-B, III-E, and V.",Does not incorporate N-step predictive flood simulation. Uses static flood maps rather than dynamic propagation. No comparison with MARL frameworks. Limited to small-scale scenarios.
4,Coupled GPU-Based Modeling of Dynamic-Wave Flow and Solute Transport in Floods with Cellular Automata Framework,[12],2024,Natural Hazards and Earth System Sciences,Flood Simulation Alternative: Represents the CA approach we deliberately avoided. Validates that CA can provide real-time flood simulation with GPU. Cited in Sections II-A and VI to contrast with our D8 approach.,Requires GPU hardware for real-time performance. CA produces less topographically accurate flow than priority-queue methods. Does not achieve O(n log n) complexity of D8. More complex to implement.
5,Online Algorithms for Ambulance Routing in Disaster Response with Time-Varying Victim Conditions,[16],2024,OR Spectrum (Springer),"Dynamic Dispatch Validation: Directly addresses time-varying victim conditions and stochastic travel times. Validates our dynamic recomputation approach. Cited in Sections I, II-B, III-E, V-B, and VII.",Does not incorporate flood prediction into routing decisions. Focuses on stochastic travel times but not environmental hazard prediction. No integration with real-time flood propagation models.
6,Evaluating the Impact of Digital Elevation Models on Urban Flood Modeling,[18],2024,Water Resources Management (Springer),"DEM Resolution Justification: Comprehensive assessment of SRTM-30m and NASADEM for flood modeling. Validates our choice of SRTM 30m resolution DEM. Cited in Sections II-A, III-A, and VI.",30m resolution overestimates flood extent in some cases. Resolution mismatch issues with OSMnx roads. Suggests higher resolution (Copernicus GLO-30 at 30cm) would be better. May miss micro-topographic features.
7,Supply-Demand Mismatch Causes Substantial Deterioration in Prehospital Emergency Medical Service Under Disasters,[29],2025,Communications Engineering (Nature),"Problem Motivation & Risk Scoring: Demonstrates real-world consequences of poor resource allocation during disasters. Validates importance of supply-demand balance. Cited in Sections I, III-D, and VII.","Focuses on EMS supply-demand mismatch but not predictive dispatch. Does not provide algorithmic solutions, only problem analysis. Limited to post-disaster analysis. No integration with flood propagation modeling."
8,Fast Prediction of Urban Flooding Water Depth Based on CNN-LSTM,[9],2023,Water (MDPI),ML-Based Flood Prediction Alternative: Represents the deep learning approach (alternative to our D8 method). Achieves <10 second prediction time. Cited in Sections II-A and V-C to contrast ML vs. physics-based approaches.,Requires extensive training data (historical flood events). Black-box nature makes predictions difficult to interpret. May not generalize to unprecedented flood scenarios. Our D8 approach is more interpretable.
9,Pre-Positioning Facility Location and Resource Allocation in Humanitarian Relief Operations Considering Deprivation Costs,[20],2021,Sustainability (MDPI),"MCLP Pre-Positioning Foundation: Provides theoretical foundation for our MCLP-based unit pre-positioning. Validates importance of deprivation costs. Cited in Sections II-D, III-E, IV-A, and V-E.","Focuses on pre-disaster positioning, not dynamic repositioning during disaster. Does not incorporate real-time flood propagation. Greedy approximation ratio (1 - 1/e) is suboptimal. Simplified MCLP without capacity constraints."
10,Cooperative Reward Shaping for Multi-Agent Pathfinding,[32],2024,arXiv preprint,"Reward Function Design: Provides theoretical foundation for our cooperative reward shaping approach. Validates that aligning rewards with global goals reduces agent selfishness. Cited in Sections II-E, III-F, and VII.","Focuses on pathfinding, not disaster response scenarios. Does not provide specific reward weights (we used heuristics). Suggests inverse RL for principled weight assignment (our future work). Weights are hand-tuned."
