run_id,N_value,total_rescued,mean_response_time,peak_flood_cells,simulation_score
1,1,10,20.4,8337,787.76
2,1,10,22.9,8337,609.260009765625
3,1,10,11.9,4158,1209.34
4,1,10,24.2,8337,523.77
5,1,10,18.2,8337,1199.34
6,1,10,14.2,8337,1312.88
7,1,10,17.1,8337,791.64
8,1,10,20.4,8337,162.88999938964844
9,1,10,11.9,6771,1199.16
10,1,10,16.3,8337,1104.469970703125
11,1,10,16.5,8337,713.72
12,1,10,24.1,8337,326.7699890136719
13,1,10,18.8,8337,395.8599853515625
14,1,10,20.6,8337,292.84
15,1,10,19.5,8337,542.49
16,1,10,22.3,8337,289.8900146484375
17,1,10,24.4,8337,406.71
18,1,10,17.5,8337,947.3200073242188
19,1,10,24.3,8337,684.239990234375
20,1,10,21.6,8337,480.94
1,2,10,14.5,8337,1302.97
2,2,10,21.4,8337,525.86
3,2,10,18.6,8337,522.18
4,2,10,22.0,8337,1298.13
5,2,10,21.2,8337,585.81
6,2,10,22.3,8337,1348.27
7,2,10,22.3,8337,421.18
8,2,10,21.2,8337,583.7000122070312
9,2,10,20.7,8337,142.94000244140625
10,2,10,16.6,8337,1063.57
11,2,10,19.8,8337,565.25
12,2,10,16.1,8337,918.56
13,2,10,29.2,8337,414.03
14,2,10,13.8,8337,1312.73
15,2,10,21.4,8337,1028.06
16,2,10,15.3,8337,1298.21
17,2,10,16.4,8337,1428.76
18,2,10,21.0,8337,837.81
19,2,10,13.4,8337,1272.62
20,2,10,18.1,8337,686.99
1,3,10,19.5,8337,827.8
2,3,10,14.3,6771,895.6900024414062
3,3,10,19.3,8337,458.17999267578125
4,3,10,24.2,8337,409.55
5,3,10,18.2,8337,1015.2899780273438
6,3,10,28.3,8337,350.97
7,3,10,28.2,8337,429.03
8,3,10,18.0,8337,417.7300109863281
9,3,10,15.1,8337,905.88
10,3,10,13.3,5420,673.6900024414062
11,3,10,12.9,8337,1077.46
12,3,10,17.3,8337,704.8200073242188
13,3,10,20.9,8337,1755.05
14,3,10,17.1,6349,1425.96
15,3,10,26.0,8337,590.35
16,3,10,16.5,8337,647.0
17,3,10,16.6,8337,1066.48
18,3,10,14.7,4766,1160.26
19,3,10,23.1,8337,-80.77
20,3,10,16.4,8337,1063.69
1,5,10,14.3,8337,885.6099853515625
2,5,10,21.9,8337,421.06
3,5,10,18.4,8337,300.69000244140625
4,5,10,23.1,8337,414.6300048828125
5,5,10,14.4,6771,1358.1400146484375
6,5,10,16.9,8337,326.58
7,5,10,10.8,4158,1080.030029296875
8,5,10,17.2,8337,1408.9
9,5,10,29.8,8337,304.25
10,5,10,13.0,8337,521.8300170898438
11,5,10,18.4,8337,842.09
12,5,10,19.6,8337,1042.48
13,5,10,19.4,8337,312.34
14,5,10,21.6,8337,675.92
15,5,10,17.8,8337,1066.84
16,5,10,16.8,8108,916.47998046875
17,5,10,17.1,8337,1106.56
18,5,10,21.5,8337,1107.3499755859375
19,5,10,9.5,3109,1088.49
20,5,10,23.6,8337,730.3699951171875
1,7,10,9.4,2973,1213.46
2,7,10,27.5,8337,720.8300170898438
3,7,10,25.2,8337,392.17
4,7,10,23.2,8337,1395.65
5,7,10,9.2,2686,1218.41
6,7,10,21.6,8337,965.1
7,7,10,12.6,6550,1067.0799560546875
8,7,10,25.7,8337,635.1
9,7,10,13.8,6550,1082.1300048828125
10,7,10,27.5,8337,448.260009765625
11,7,10,19.2,8337,46.95000076293945
12,7,10,26.0,8337,640.22
13,7,10,22.2,8337,755.760009765625
14,7,10,18.3,6988,863.3699951171875
15,7,10,17.2,8337,345.5799865722656
16,7,10,15.0,8337,1193.17
17,7,10,23.4,8337,645.010009765625
18,7,10,8.7,4766,1088.27
19,7,10,19.7,8337,321.0799865722656
20,7,10,26.9,8337,975.53
