run_id,mode,total_rescued,mean_response_time,peak_flood_cells,simulation_score
1,Random,10,24.6,8337,-258.25
2,Random,10,30.4,8337,-584.22998046875
3,Random,10,35.2,8337,-0.7599999904632568
4,Random,10,25.5,8337,-50.52000045776367
5,Random,10,24.3,8337,323.1300048828125
6,Random,10,35.6,8337,-262.6400146484375
7,Random,10,30.0,8337,419.8500061035156
8,Random,10,30.1,8337,-192.60000610351562
9,Random,10,30.8,8337,-7.840000152587891
10,Random,10,32.7,8337,-194.77000427246094
11,Random,10,31.6,8337,242.8300018310547
12,Random,10,30.2,8337,251.47
13,Random,10,30.3,8337,139.4499969482422
14,Random,10,29.9,8337,321.75
15,Random,10,25.7,8337,170.09
16,Random,10,33.2,8337,236.69000244140625
17,Random,10,31.1,8337,-271.239990234375
18,Random,10,28.4,8337,478.8399963378906
19,Random,10,33.7,8337,-214.27999877929688
20,Random,10,34.0,8337,-491.79998779296875
1,Nearest-Unit,10,23.1,8337,822.6300048828125
2,Nearest-Unit,10,31.1,8337,-209.19000244140625
3,Nearest-Unit,10,31.9,8337,-272.8399963378906
4,Nearest-Unit,10,29.0,8337,403.0199890136719
5,Nearest-Unit,10,33.3,8337,428.32000732421875
6,Nearest-Unit,10,31.2,8337,101.76000213623047
7,Nearest-Unit,10,31.3,8337,359.69000244140625
8,Nearest-Unit,10,29.4,8337,465.9800109863281
9,Nearest-Unit,10,31.1,8337,310.739990234375
10,Nearest-Unit,10,34.8,8337,-153.0
11,Nearest-Unit,10,32.4,8337,233.69000244140625
12,Nearest-Unit,10,35.8,8337,360.29998779296875
13,Nearest-Unit,10,34.1,8337,-302.8299865722656
14,Nearest-Unit,10,26.4,8337,113.62999725341797
15,Nearest-Unit,10,25.2,8337,-342.8399963378906
16,Nearest-Unit,10,28.0,8337,534.6099853515625
17,Nearest-Unit,10,30.0,8337,-61.619998931884766
18,Nearest-Unit,10,27.6,8337,73.66999816894531
19,Nearest-Unit,10,25.2,8337,-134.02999877929688
20,Nearest-Unit,10,28.5,8337,451.06
1,Greedy Myopic,10,26.8,8337,677.5499877929688
2,Greedy Myopic,10,36.9,8337,294.44000244140625
3,Greedy Myopic,10,25.8,8337,270.11
4,Greedy Myopic,10,31.4,8337,143.97000122070312
5,Greedy Myopic,10,34.3,8337,117.38999938964844
6,Greedy Myopic,10,29.3,8337,124.91000366210938
7,Greedy Myopic,10,31.6,8337,41.630001068115234
8,Greedy Myopic,10,31.4,8337,726.9099731445312
9,Greedy Myopic,10,26.8,8337,619.1400146484375
10,Greedy Myopic,10,23.1,8337,311.8500061035156
11,Greedy Myopic,10,30.4,8337,-435.0899963378906
12,Greedy Myopic,10,33.4,8337,508.70001220703125
13,Greedy Myopic,10,30.8,8337,74.94999694824219
14,Greedy Myopic,10,37.1,8337,-16.34000015258789
15,Greedy Myopic,10,30.4,8337,-19.25
16,Greedy Myopic,10,30.1,8337,168.9199981689453
17,Greedy Myopic,10,30.8,8337,159.63999938964844
18,Greedy Myopic,10,31.3,8337,274.57000732421875
19,Greedy Myopic,10,24.4,8337,-69.58000183105469
20,Greedy Myopic,10,28.1,8337,83.04000091552734
1,Priority Queue,10,28.5,8337,-336.6199951171875
2,Priority Queue,10,33.1,8337,75.75
3,Priority Queue,10,23.1,8337,-130.6199951171875
4,Priority Queue,10,35.8,8337,-609.530029296875
5,Priority Queue,10,34.8,8337,60.9900016784668
6,Priority Queue,10,37.0,8337,-187.85000610351562
7,Priority Queue,10,28.1,8337,416.4800109863281
8,Priority Queue,10,32.5,8337,155.58999633789062
9,Priority Queue,10,31.9,8337,-18.979999542236328
10,Priority Queue,10,31.4,8337,-61.59000015258789
11,Priority Queue,10,33.1,8337,-25.219999313354492
12,Priority Queue,10,28.5,8337,374.55999755859375
13,Priority Queue,10,27.5,8337,460.1300048828125
14,Priority Queue,10,29.4,8337,103.0199966430664
15,Priority Queue,10,29.2,8337,-449.94000244140625
16,Priority Queue,10,28.9,8337,66.68000030517578
17,Priority Queue,10,32.5,8337,121.08000183105469
18,Priority Queue,10,34.4,8337,-217.38999938964844
19,Priority Queue,10,36.0,8337,-487.44000244140625
20,Priority Queue,10,34.4,8337,127.62000274658203
1,Hungarian,10,14.8,8337,1198.05
2,Hungarian,10,20.6,8337,852.84
3,Hungarian,10,25.4,8337,545.0
4,Hungarian,10,22.0,8337,361.09
5,Hungarian,10,12.2,4541,1214.719970703125
6,Hungarian,10,19.4,8337,441.8699951171875
7,Hungarian,10,20.2,8337,340.44
8,Hungarian,10,24.2,8337,581.78
9,Hungarian,10,16.8,8337,836.54
10,Hungarian,10,14.5,8337,892.99
11,Hungarian,10,15.1,8337,1313.2
12,Hungarian,10,25.9,8337,420.17
13,Hungarian,10,24.0,8337,259.49
14,Hungarian,10,23.4,8108,631.4400024414062
15,Hungarian,10,20.6,8337,952.78
16,Hungarian,10,21.4,8337,515.87
17,Hungarian,10,11.5,8337,1062.6500244140625
18,Hungarian,10,17.2,8337,991.77
19,Hungarian,10,17.9,8108,1210.8900146484375
20,Hungarian,10,16.7,8337,636.0700073242188
